"OM","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID"
"om001","STK1","bc",0.75,"fopt",0.1,"b1p","low"
"om002","STK1","bc",0.75,"flow",0.1,"b1p","low"
"om003","STK1","bc",0.75,"fhigh",0.1,"b1p","low"
"om004","STK2","bc",0.75,"fopt",0.1,"b1p","low"
"om005","STK2","bc",0.75,"flow",0.1,"b1p","low"
"om006","STK2","bc",0.75,"fhigh",0.1,"b1p","low"
"om007","STK1","bc",0.5,"fopt",0.1,"b1p","low"
"om008","STK1","bc",0.5,"flow",0.1,"b1p","low"
"om009","STK1","bc",0.5,"fhigh",0.1,"b1p","low"
"om010","STK1","bc",1,"fopt",0.1,"b1p","low"
"om011","STK1","bc",1,"flow",0.1,"b1p","low"
"om012","STK1","bc",1,"fhigh",0.1,"b1p","low"
"om013","STK1","lowprod",0.5,"fopt",0.1,"b1p","low"
"om014","STK1","lowprod",0.5,"flow",0.1,"b1p","low"
"om015","STK1","lowprod",0.5,"fhigh",0.1,"b1p","low"
"om016","STK1","lowprod",0.75,"fopt",0.1,"b1p","low"
"om017","STK1","lowprod",0.75,"flow",0.1,"b1p","low"
"om018","STK1","lowprod",0.75,"fhigh",0.1,"b1p","low"
"om019","STK1","lowprod",1,"fopt",0.1,"b1p","low"
"om020","STK1","lowprod",1,"flow",0.1,"b1p","low"
"om021","STK1","lowprod",1,"fhigh",0.1,"b1p","low"
"om022","STK1","highprod",0.5,"fopt",0.1,"b1p","low"
"om023","STK1","highprod",0.5,"flow",0.1,"b1p","low"
"om024","STK1","highprod",0.5,"fhigh",0.1,"b1p","low"
"om025","STK1","highprod",0.75,"fopt",0.1,"b1p","low"
"om026","STK1","highprod",0.75,"flow",0.1,"b1p","low"
"om027","STK1","highprod",0.75,"fhigh",0.1,"b1p","low"
"om028","STK1","highprod",1,"fopt",0.1,"b1p","low"
"om029","STK1","highprod",1,"flow",0.1,"b1p","low"
"om030","STK1","highprod",1,"fhigh",0.1,"b1p","low"
"om031","STK2","bc",0.5,"fopt",0.1,"b1p","low"
"om032","STK2","bc",0.5,"flow",0.1,"b1p","low"
"om033","STK2","bc",0.5,"fhigh",0.1,"b1p","low"
"om034","STK2","bc",1,"fopt",0.1,"b1p","low"
"om035","STK2","bc",1,"flow",0.1,"b1p","low"
"om036","STK2","bc",1,"fhigh",0.1,"b1p","low"
"om037","STK2","lowprod",0.5,"fopt",0.1,"b1p","low"
"om038","STK2","lowprod",0.5,"flow",0.1,"b1p","low"
"om039","STK2","lowprod",0.5,"fhigh",0.1,"b1p","low"
"om040","STK2","lowprod",0.75,"fopt",0.1,"b1p","low"
"om041","STK2","lowprod",0.75,"flow",0.1,"b1p","low"
"om042","STK2","lowprod",0.75,"fhigh",0.1,"b1p","low"
"om043","STK2","lowprod",1,"fopt",0.1,"b1p","low"
"om044","STK2","lowprod",1,"flow",0.1,"b1p","low"
"om045","STK2","lowprod",1,"fhigh",0.1,"b1p","low"
"om046","STK2","highprod",0.5,"fopt",0.1,"b1p","low"
"om047","STK2","highprod",0.5,"flow",0.1,"b1p","low"
"om048","STK2","highprod",0.5,"fhigh",0.1,"b1p","low"
"om049","STK2","highprod",0.75,"fopt",0.1,"b1p","low"
"om050","STK2","highprod",0.75,"flow",0.1,"b1p","low"
"om051","STK2","highprod",0.75,"fhigh",0.1,"b1p","low"
"om052","STK2","highprod",1,"fopt",0.1,"b1p","low"
"om053","STK2","highprod",1,"flow",0.1,"b1p","low"
"om054","STK2","highprod",1,"fhigh",0.1,"b1p","low"
"om055","STK1","bc",0.75,"fopt",0.1,"b1p","high"
"om056","STK1","bc",0.75,"fopt",0.1,"b1p","iav"
"om057","STK1","bc",0.75,"fopt",0.1,"b1p","iav2"
"om058","STK1","bc",0.75,"flow",0.1,"b1p","high"
"om059","STK1","bc",0.75,"flow",0.1,"b1p","iav"
"om060","STK1","bc",0.75,"flow",0.1,"b1p","iav2"
"om061","STK1","bc",0.75,"fhigh",0.1,"b1p","high"
"om062","STK1","bc",0.75,"fhigh",0.1,"b1p","iav"
"om063","STK1","bc",0.75,"fhigh",0.1,"b1p","iav2"
"om064","STK2","bc",0.75,"fopt",0.1,"b1p","high"
"om065","STK2","bc",0.75,"fopt",0.1,"b1p","iav"
"om066","STK2","bc",0.75,"fopt",0.1,"b1p","iav2"
"om067","STK2","bc",0.75,"flow",0.1,"b1p","high"
"om068","STK2","bc",0.75,"flow",0.1,"b1p","iav"
"om069","STK2","bc",0.75,"flow",0.1,"b1p","iav2"
"om070","STK2","bc",0.75,"fhigh",0.1,"b1p","high"
"om071","STK2","bc",0.75,"fhigh",0.1,"b1p","iav"
"om072","STK2","bc",0.75,"fhigh",0.1,"b1p","iav2"
